coaster_name,Length,Speed,Status,Manufacturer,Height,Lift/launch system,Designer,Type_Main,opening_date_clean,speed_mph,height_ft,Inversions_clean,Model
Roller Coaster (Dai Nam Van Hien),"680 m (2,230 ft)",75 km/h (47 mph),Operating,Hebei Zhongye Metallurgical Equipment,33.6 m (110 ft),lift,Unknown,Steel,2008-09-11,46.6,110.2,4,Looping Star
T Express,"1,641 m (5,384 ft)",103.9 km/h (64.6 mph),Operating,Intamin,56.02 m (183.8 ft),lift,Werner Stengel,Wood,2008-03-14,64.6,183.8,0,Boomerang
Diving Coaster,"972 m (3,189 ft)",110 km/h (68 mph),Operating,Bolliger & Mabillard,65 m (213 ft),lift,Unknown,Steel,2009-08-16,68.4,213.3,1,Unknown
Formula Rossa,"2,000 m (6,562 ft)",240 km/h (149.1 mph),Operating,Intamin,52 m (170.6 ft),launch,Unknown,Steel,2010-11-04,149.1,170.6,0,Unknown
Space Fantasy – The Ride,"585 m (1,919 ft)",,Operating,Mack Rides,7 m (23 ft),lift,Universal Creative,Steel,2010-03-18,,23.0,0,Custom Jet Star 2
Accelerator (roller coaster),180 m (590 ft),60 km/h (37 mph),Operating,Vekoma,20 m (66 ft),lift,Meticulous ltd,Steel,2011-04-21,37.3,65.6,0,Wooden roller coaster
Green Lantern Coaster,"488 m (1,601 ft)",66 km/h (41 mph),Operating,S&S – Sansei Technologies,33 m (108 ft),lift,Unknown,Steel,2011-12-23,41.0,108.3,2,MK-1200 (Custom)
Krake,"476 m (1,562 ft)",103 km/h (64 mph),Operating,Bolliger & Mabillard,41 m (135 ft),lift,Unknown,Steel,2011-04-16,64.0,134.5,1,Unknown
Takabisha,"1,000 m (3,300 ft)",100 km/h (62 mph),Operating,Gerstlauer,43 m (141 ft),launch,Unknown,Steel,2011-07-16,62.1,141.1,7,Space Diver
Van Helsing's Factory,"400 m (1,300 ft)",36 km/h (22 mph),Operating,Gerstlauer,8 m (26 ft),lift,Unknown,Steel,2011-06-18,22.4,26.2,0,Unknown
The Barnstormer,207 m (679 ft),40.2 km/h (25.0 mph),Operating,Vekoma,9.1 m (30 ft),lift,Walt Disney Imagineering,Steel,1996-10-01,25.0,29.9,0,Unknown
Leviathan (Canada's Wonderland),"1,672 m (5,486 ft)",148 km/h (92 mph),Operating,Bolliger & Mabillard,93.3 m (306 ft),lift,Werner Stengel[3],Steel,2012-05-06,92.0,306.1,0,Powered Coaster
Polar X-plorer,,65 km/h (40 mph),Operating,Zierer,20 m (66 ft),lift,Unknown,Steel,2012-04-29,40.4,65.6,0,Stand-Up
Shambhala (roller coaster),"1,564 m (5,131 ft)",134 km/h (83 mph),Operating,Bolliger & Mabillard,76 m (249 ft),lift,Unknown,Other,2012-05-12,83.3,249.3,0,Unknown
The Swarm (roller coaster),"775 m (2,543 ft)",59 mph (95 km/h),Operating,Bolliger & Mabillard,38.6 m (127 ft),lift,Unknown,Steel,2012-03-15,59.0,126.6,5,Whirlwind
Abyss (roller coaster),"630 m (2,070 ft)",85 km/h (53 mph),Operating,Gerstlauer,30 m (98 ft),lift,Unknown,Steel,2013-11-01,52.8,98.4,3,Looping Coaster
Karacho,"700 m (2,300 ft)",90 km/h (56 mph),Operating,Gerstlauer,30 m (98 ft),launch,Imaginvest,Steel,2013-07-10,55.9,98.4,4,Mine train
